,mu,sigma,epochs,learn_rate,batch_size,uses_dropout,ACCURACY,grayscale,Feature Addition
0,0,0.01,50,0.01,128,False,0.8897959182,True,
1,0,0.01,100,0.01,128,False,0.847845805,True,
2,0,0.01,10,0.01,128,False,0.8770975057,True,
3,0,0.01,50,0.001,128,False,0.8523809527,True,
4,0,0.01,50,0.1,128,False,0.0544217687,True,
5,0,0.01,100,0.0001,128,False,0.7913832203,True,
6,0,0.01,200,0.0001,128,False,0.8841269842,True,
7,0,0.01,200,0.009,128,False,0.8975056687,True,
8,0,0.01,50,0.009,128,False,0.8916099771,True,
9,0,0.01,50,0.009,256,False,0.8959183671,True,
10,0,0.01,40,0.009,256,False,0.9278911563,True,
11,0,0.01,40,0.009,512,False,0.8623582775,True,
12,0,0.01,40,0.009,1024,False,0.9038548741,True,
13,0,0.01,40,0.0009,1024,False,0.8129251714,True,
14,0,0.01,100,0.0009,1024,False,0.8512471654,True,
15,0,0.01,100,0.009,1024,False,0.9181405917,True,
16,0,0.01,100,0.009,256,False,0.9301587299,True,
0,0,0.01,100,0.009,256,False,0.9317460318,False,Try From Grayscale to RGB
0,0,0.01,100,0.009,256,0.75,0.7292517006,False,
0,0,0.01,100,0.009,256,0.5,0.4809523809,False,
0,0,0.01,100,0.009,256,0.9,0.8907029481,False,
0,0,0.01,100,0.009,256,0.95,0.9029478459,False,
0,0,0.01,100,0.0009,256,0.7,0.9009070295,False,
0,0,0.01,100,0.0009,256,0.5,0.8167800457,False,
0,0,0.01,100,0.0009,1024,0.7,0.8757369613,True,
0,0,0.01,100,0.0009,1024,0.7,0.8850340124,True,
0,0,0.01,100,0.001,128,0.5,0.8532879819,True,
0,0,0.01,100,0.001,128,0.7,0.917913832,True,
0,0,0.01,100,0.001,256,0.75,0.9013605442,True,
0,0,0.01,100,0.004,100,0.6,0.8564625797,True,
0,0,0.01,100,0.003,100,0.7,0.904081639,True,
0,0,0.01,100,0.003,100,0.7,0.9047619075,True,
0,0,0.01,100,0.009,256,0.9,0.9083900225,True,
0,0,0.01,100,0.001,256,0.95,0.9299319728,True,Introduced Image Warp
0,0,0.01,100,0.002,256,0.95,0.936054422,True,
0,0,0.01,100,0.002,256,0.95,0.9167800454,True,
0,0,0.01,150,0.003,256,0.89,0.9356009071,True,
0,0,0.01,150,0.003,512,0.89,0.9244897964,True,
0,0,0.01,50,0.0009,128,0.85,0.9158730156,True,
0,0,0.01,100,0.005,128,0.9,0.9158730156,True,
0,0,0.01,100,0.001,256,0.92,0.9199546485,True,
0,0,0.01,100,0.001,256,0.89,0.9154195014,True,
0,0,0.01,100,0.001,256,0.89,0.9138321998,True,
0,0,0.01,100,0.003,256,0.89,0.9197278909,True,
0,0,0.01,150,0.003,256,0.89,0.9170068027,True,
0,0,0.01,50,0.003,1024,0.89,0.9358276659,True,
0,0,0.01,50,0.003,1024,0.89,0.9208616779,True,
0,0,0.01,75,0.003,1024,0.89,0.9217687074,True,
0,0,0.01,75,0.003,1024,0.89,0.9086167805,True,Introduced Gradient and Contrast Scaling
0,0,0.01,75,0.003,1024,0.89,0.935600908,True,
0,0,0.01,75,0.003,1024,0.89,0.9231292506,True,
0,0,0.01,75,0.003,1024,0.89,0.9353741496,True,
0,0,0.01,75,0.003,1024,0.89,0.9272108832,True,
0,0,0.01,75,0.003,1024,0.89,0.9278911575,True,
0,0,0.01,75,0.001,1024,0.89,0.9102040821,True,
0,0,0.01,75,0.005,1024,0.89,0.9267573706,True,
0,0,0.01,100,0.005,1024,0.89,0.9183673453,True,
0,0,0.01,75,0.003,1024,0.89,0.925850339,True,
0,0,0.01,100,0.003,1024,0.89,0.9378684823,True,
0,0,0.01,75,0.003,1024,0.89,0.9383219944,True,
0,0,0.01,75,0.004,1024,0.9,0.9312925159,True,
0,0,0.01,75,0.0035,1024,0.9,0.9412698402,True,
0,0,0.01,75,0.0035,1024,0.9,0.9249433116847966,True
0,0,0.01,75,0.0035,1024,0.9,0.937188209076317,True
0,0,0.01,75,0.003,1024,0.9,0.9274376405880295,True
0,0,0.01,75,0.003,1024,0.9,0.9319727896022147,True
0,0,0.01,75,0.0009,1024,0.9,0.9052154178251756,True
0,0,0.01,100,0.0008,1024,0.9,0.9054421778438854,True
0,0,0.01,75,0.001,1024,0.5,0.8804988681864576,True
0,0,0.01,100,0.001,1024,0.5,0.9263038548482518,True
0,0,0.01,75,0.001,1024,0.5,0.8680272097219955,True
0,0,0.01,75,0.001,1024,0.5,0.9052154199606707,True
